n_states,n_samples,n_features,log_likelihood,num_params,aic,bic,converged,iterations
7,5525,17,-90703.34443899394,1238,183882.68887798788,192074.5825736537,True,26
6,5525,17,-93422.10117258907,1055,188954.20234517814,195935.1779905153,True,59
4,5525,17,-96298.20247417981,695,193986.40494835962,198585.24672419784,True,31
5,5525,17,-95908.93353038657,874,193565.86706077313,199349.15873283445,True,40
3,5525,17,-99622.79661625509,518,200281.59323251017,203709.2191891781,True,44
