n_states,n_samples,n_features,log_likelihood,num_params,aic,bic,converged,iterations
7,5525,17,-90703.34443899099,1238,183882.68887798197,192074.5825736478,True,26
6,5525,17,-93422.10117258606,1055,188954.20234517212,195935.1779905093,True,59
4,5525,17,-96298.20247417981,695,193986.40494835962,198585.24672419784,True,31
5,5525,17,-95908.93353038894,874,193565.86706077788,199349.1587328392,True,40
3,5525,17,-99622.79661625951,518,200281.59323251902,203709.21918918696,True,44
